,기관명,소계,3년간증가율,구별,인구수,한국인,외국인,고령자,외국인비율,고령자비율
1,강동구,1010,166.49076517150397,종로구,163026,153065,9961,26742,6.110068332658594,16.40351845717861
2,강북구,831,125.20325203252031,중구,135633,125725,9908,22005,7.305006893602589,16.223927805180153
3,강서구,911,134.7938144329897,용산구,245090,228999,16091,37640,6.5653433432616595,15.357623730058345
4,관악구,2109,149.29078014184398,성동구,316463,308221,8242,42767,2.6044118901735747,13.514060095492997
5,광진구,878,53.22862129144852,광진구,371063,355559,15504,45619,4.178266224333873,12.29413873115886
6,구로구,1884,64.97373029772329,동대문구,364338,348052,16286,57165,4.470025086595414,15.690100950216557
7,금천구,1348,100.0,중랑구,408147,403209,4938,61830,1.209858212849782,15.14895368580438
8,노원구,1566,188.929889298893,성북구,447687,435868,11819,67782,2.6400141170058546,15.14048877899068
9,도봉구,825,246.6386554621849,강북구,322915,319164,3751,58196,1.1616059953857827,18.022080113961877
10,동대문구,1870,74.76635514018692,도봉구,341649,339413,2236,55964,0.6544728654262122,16.380554311588792
11,동작구,1302,139.33823529411765,노원구,548160,543752,4408,77096,0.8041447752481027,14.06450671336836
12,마포구,980,212.1019108280255,은평구,487666,483197,4469,77420,0.9164059007599463,15.875619788953916
13,서대문구,1254,48.5781990521327,서대문구,323080,310313,12767,50456,3.9516528414015104,15.61718459824192
14,서초구,2297,63.37126600284495,마포구,386359,375077,11282,50833,2.9200820998087273,13.156934353800482
15,성동구,1327,81.78082191780823,양천구,468145,464185,3960,58045,0.8458917643037948,12.398936227023679
16,성북구,1651,63.62735381565907,강서구,603611,596949,6662,79660,1.103690953279513,13.197241269625637
17,송파구,1081,104.34782608695652,구로구,438486,404497,33989,61801,7.751444743959898,14.094178605474292
18,양천구,2482,34.67173087357569,금천구,254021,233917,20104,35739,7.914306297510835,14.069309230339226
19,영등포구,1277,157.97979797979798,영등포구,403600,367778,35822,55673,8.87561942517344,13.79410307234886
20,용산구,2096,53.216374269005854,동작구,409385,396203,13182,59479,3.2199518790380695,14.528866470437363
21,은평구,2108,85.23725834797891,관악구,520040,501957,18083,72249,3.47723252057534,13.892969771556036
22,종로구,1619,248.92241379310346,서초구,438163,433951,4212,54751,0.9612860967265607,12.49557812960017
23,중구,1023,147.6997578692494,강남구,547453,542364,5089,67085,0.9295775162434036,12.254019979797352
24,중랑구,916,79.96070726915521,송파구,673507,666635,6872,81364,1.0203308948533572,12.080646526316727
